Generation, Score, Total, Percent
1,10.0,100,10
2,12.0,100,12
3,12.0,100,12
4,12.0,100,12
5,12.0,100,12
6,12.0,100,12
7,12.0,100,12
8,12.0,100,12
9,12.0,100,12
10,12.0,100,12
11,12.0,100,12
12,12.0,100,12
13,12.0,100,12
14,12.0,100,12
15,12.0,100,12
16,12.0,100,12
17,12.0,100,12
18,12.0,100,12
19,12.0,100,12
20,12.0,100,12
21,12.0,100,12
22,12.0,100,12
23,12.0,100,12
24,12.0,100,12
25,12.0,100,12
26,12.0,100,12
27,12.0,100,12
28,12.0,100,12
29,12.0,100,12
30,12.0,100,12
31,12.0,100,12
32,12.0,100,12
33,12.0,100,12
34,12.0,100,12
35,12.0,100,12
36,12.0,100,12
37,12.0,100,12
38,12.0,100,12
39,12.0,100,12
40,12.0,100,12
41,12.0,100,12
42,12.0,100,12
43,12.0,100,12
44,12.0,100,12
45,12.0,100,12
46,12.0,100,12
47,12.0,100,12
48,12.0,100,12
49,12.0,100,12
50,12.0,100,12
51,12.0,100,12
52,12.0,100,12
53,12.0,100,12
54,12.0,100,12
55,12.0,100,12
56,12.0,100,12
57,12.0,100,12
58,12.0,100,12
59,12.0,100,12
60,12.0,100,12
61,12.0,100,12
62,12.0,100,12
63,12.0,100,12
64,12.0,100,12
65,12.0,100,12
66,12.0,100,12
67,12.0,100,12
68,12.0,100,12
69,12.0,100,12
70,12.0,100,12
71,12.0,100,12
72,12.0,100,12
73,12.0,100,12
74,12.0,100,12
75,12.0,100,12
76,12.0,100,12
77,12.0,100,12
78,12.0,100,12
79,12.0,100,12
80,12.0,100,12
81,12.0,100,12
82,12.0,100,12
83,12.0,100,12
84,12.0,100,12
85,12.0,100,12
86,12.0,100,12
87,12.0,100,12
88,12.0,100,12
89,12.0,100,12
90,12.0,100,12
91,12.0,100,12
92,12.0,100,12
93,12.0,100,12
94,12.0,100,12
95,12.0,100,12
96,12.0,100,12
97,12.0,100,12
98,12.0,100,12
99,12.0,100,12
100,12.0,100,12
